BPID,lat,lon,NbDocks,Installed,commonName
277,51.503157,-0.191496,17,2010-07-21 14:42:00,"Kensington Church Street, Kensington"
278,51.503493,-0.07962000000000001,17,2010-07-21 14:45:00,"Tooley Street, Bermondsey"
279,51.518622,-0.176645,25,2010-07-21 14:49:00,"North Wharf Road, Paddington"
280,51.490083,-0.16241799999999998,10,2010-07-21 15:34:00,"Royal Avenue 2, Chelsea"
281,51.495805,-0.127575,18,2010-07-21 15:37:00,"Smith Square, Westminster"
282,51.519064,-0.059642,42,2010-07-21 15:43:00,"Royal London Hospital, Whitechapel"
283,51.514409,-0.118478,16,2010-07-21 15:47:00,"Kingsway, Covent Garden"
284,51.49914,-0.11203099999999999,20,2010-07-21 15:53:00,"Lambeth North Station, Waterloo"
286,51.527294,-0.174653,35,2010-07-21 15:58:00,"St. John's Wood Road, St. John's Wood"
287,51.523673,-0.128377,23,2010-07-21 16:01:00,"Bedford Way, Bloomsbury"
288,51.492369,-0.147478,34,2010-07-22 10:17:00,"Elizabeth Bridge, Victoria"
289,51.50923,-0.15129599999999999,15,2010-07-22 10:21:00,"South Audley Street, Mayfair"
290,51.51678,-0.175488,15,2010-07-22 10:39:00,"Winsland Street, Paddington"
291,51.484839,-0.138089,32,2010-07-22 12:07:00,"Claverton Street, Pimlico"
292,51.498884,-0.16547099999999998,16,2010-07-22 12:10:00,"Montpelier Street, Knightsbridge"
293,51.498157,-0.20949399999999999,25,2010-07-22 12:13:00,"Kensington Olympia Station, Olympia"
294,51.488226,-0.135635,16,2010-07-22 12:15:00,"St. George's Square, Pimlico"
295,51.500296,-0.092762,27,2010-07-22 12:18:00,"Swan Street, The Borough"
296,51.493631,-0.190603,18,2013-08-23 11:56:00,"Knaresborough Place, Earl's Court"
297,51.496127,-0.106,17,2010-07-22 12:26:00,"Geraldine Street, Elephant & Castle"
298,51.502279,-0.07418899999999999,21,2010-07-22 13:34:00,"Curlew Street, Shad Thames"
299,51.493985,-0.136928,19,2010-07-22 14:16:00,"Vincent Square, Westminster"
300,51.505014,-0.17306000000000002,18,2010-07-22 14:25:00,"Serpentine Car Park, Hyde Park"
301,51.514759,-0.148105,24,2010-07-22 14:30:00,"Marylebone Lane, Marylebone"
302,51.466907,-0.216573,28,2010-07-22 15:26:00,"Putney Pier, Wandsworth"
303,51.502953,-0.15845599999999999,28,2010-07-22 15:32:00,"Albert Gate, Hyde Park"
305,51.486779,-0.115853,15,2010-07-22 16:25:00,"Kennington Lane Tesco, Vauxhall"
306,51.518162,-0.135025,16,2010-07-22 16:31:00,"Rathbone Street, Fitzrovia "
307,51.509908,-0.18784199999999998,24,2010-07-22 16:35:00,"Black Lion Gate, Kensington Gardens"
308,51.499075,-0.08566599999999999,20,2010-07-22 16:39:00,"Long Lane , Bermondsey"
309,51.509631,-0.119047,41,2010-07-23 08:51:00,"Embankment (Savoy), Strand"
310,51.490867,-0.116911,19,2010-07-23 10:06:00,"Black Prince Road, Vauxhall"
311,51.519181,-0.140485,24,2010-07-23 10:15:00,"Foley Street, Fitzrovia"
312,51.530889,-0.17677,20,2010-07-23 10:19:00,"Grove End Road, St. John's Wood"
313,51.517344,-0.138072,37,2010-07-23 10:22:00,"Wells Street, Fitzrovia "
314,51.500889,-0.083159,36,2010-07-23 11:28:00,"Tyers Gate, Bermondsey"
315,51.525367,-0.153463,16,2010-07-23 11:31:00,"The Tennis Courts, The Regent's Park"
317,51.496791,-0.093913,32,2010-07-23 11:38:00,"Dickens Square, Borough"
318,51.510048,-0.138846,18,2010-07-23 11:42:00,"Sackville Street, Mayfair"
319,51.527025,-0.088542,21,2010-07-23 13:06:00,"Baldwin Street, St. Luke's"
320,51.493573,-0.139956,26,2010-07-23 13:14:00,"Queen Mother Sports Centre, Victoria"
321,51.497855,-0.081608,24,2010-07-23 13:17:00,"Bermondsey Street, Bermondsey"
322,51.526293,-0.07395499999999999,26,2010-07-23 13:32:00,"Palissy Street, Shoreditch"
323,51.523196,-0.083067,24,2010-07-23 13:34:00,"Clifton Street, Shoreditch"
324,51.49652,-0.101384,15,2010-07-23 14:22:00,"Ontario Street, Elephant & Castle"
325,51.509087,-0.129697,18,2010-07-23 14:51:00,"St. Martin's Street, West End"
326,51.532661,-0.099981,26,2010-07-23 14:54:00,"Graham Street, Angel"
327,51.53095,-0.085603,22,2010-07-26 08:37:00,"New North Road 1, Hoxton"
328,51.53114,-0.086016,22,2010-07-26 08:39:00,"New North Road 2, Hoxton"
329,51.535892,-0.160854,24,2010-07-26 08:42:00,"Prince Albert Road, The Regent's Park"
330,51.516417,-0.179135,34,2010-07-26 10:48:00,"Eastbourne Mews, Paddington"
331,51.520858,-0.089887,30,2010-07-26 10:51:00,"Bunhill Row, Moorgate"
332,51.493343,-0.19475699999999999,20,2010-07-26 11:06:00,"Nevern Place, Earl's Court"
333,51.508605,-0.193764,37,2010-07-26 11:09:00,"Palace Gardens Terrace, Notting Hill"
334,51.505044,-0.115851,10,2010-07-26 12:33:00,"Concert Hall Approach 1, South Bank"
335,51.511968,-0.12071799999999999,33,2010-07-26 13:56:00,"Tavistock Street, Covent Garden"
336,51.504942,-0.115533,18,2010-07-26 14:00:00,"Concert Hall Approach 2, South Bank"
337,51.511084,-0.19752399999999998,16,2010-07-26 14:05:00,"Pembridge Villas, Notting Hill"
338,51.511756,-0.119643,24,2010-07-26 15:39:00,"Wellington Street , Strand"
339,51.533319,-0.11178099999999999,25,2010-07-26 16:10:00,"Risinghill Street, Angel"
340,51.514441,-0.087587,16,2010-07-27 16:37:00,"Bank of England Museum, Bank"
341,51.508103,-0.126021,23,2010-07-27 09:16:00,"Craven Street, Strand"
343,51.536922,-0.15018099999999998,36,2010-07-27 09:51:00,"London Zoo Car Park, The Regent's Park"
344,51.528246,-0.10102599999999999,17,2010-07-27 10:22:00,"Goswell Road (City Uni), Finsbury"
345,51.488023,-0.166878,33,2010-07-27 11:22:00,"Flood Street, Chelsea"
347,51.500139,-0.113936,17,2010-09-06 08:41:00,"Lower Marsh, Waterloo"
348,51.51217,-0.150481,17,2010-09-15 08:49:00,"Grosvenor Square, Mayfair"
349,51.51196,-0.142783,18,2010-09-15 09:32:00,"St. George Street, Mayfair"
350,51.501715,-0.17985399999999999,21,2010-09-29 10:31:00,"Queen's Gate, Kensington Gardens"
351,51.529423,-0.097122,28,2010-10-11 09:48:00,"Macclesfield Rd, St Lukes"
352,51.486965,-0.11662499999999999,19,2010-10-11 11:26:00,"Vauxhall Street, Vauxhall"
353,51.494591,-0.134234,17,2010-10-21 09:08:00,"Greycoat Street , Westminster"
354,51.506766999999996,-0.12370199999999999,37,2010-10-22 13:01:00,"Northumberland Avenue, Strand"
355,51.486575,-0.117286,21,2010-10-22 13:01:00,"Oval Way, Vauxhall"
356,51.494412,-0.17388099999999998,15,2010-10-25 12:18:00,"South Kensington Station, South Kensington"
357,51.520994,-0.139016,30,2010-10-26 11:27:00,"Howland Street, Fitzrovia"
358,51.516226,-0.12482599999999999,20,2010-11-18 11:31:00,"High Holborn , Covent Garden"
359,51.497829,-0.13544,18,2010-11-05 09:56:00,"Butler Place, Westminster"
360,51.496753,-0.138733,27,2010-11-05 11:56:00,"Howick Place, Westminster"
361,51.503919,-0.113426,55,2010-12-09 13:50:00,"Waterloo Station 2, Waterloo"
362,51.536264,-0.133952,57,2010-11-18 11:37:00,"Royal College Street, Camden Town"
363,51.529121,-0.171185,24,2010-11-16 12:50:00,"Lord's, St. John's Wood"
364,51.519656,-0.13233899999999998,41,2010-11-18 11:44:00,"Alfred Place, Bloomsbury"
365,51.530344,-0.100168,47,2010-11-24 13:00:00,"City Road, Angel"
366,51.510919,-0.15112599999999998,27,2010-11-25 12:08:00,"Millennium Hotel, Mayfair"
367,51.517372,-0.164207,16,2010-12-01 11:08:00,"Harrowby Street, Marylebone"
368,51.500241,-0.15934,25,2010-12-01 11:08:00,"Harriet Street, Knightsbridge"
370,51.520205,-0.174593,20,2010-12-06 14:55:00,"Paddington Green, Paddington"
371,51.49775,-0.10988,22,2010-12-07 09:07:00,"King Edward Walk, Waterloo"
372,51.515208,-0.117863,24,2010-12-07 09:10:00,"Sardinia Street, Holborn"
373,51.499806,-0.176415,18,2011-01-19 09:12:00,"Prince Consort Road, Knightsbridge"
374,51.504027,-0.11386399999999999,36,2010-12-07 12:42:00,"Waterloo Station 1, Waterloo"
375,51.501945,-0.19439199999999998,18,2010-12-08 10:57:00,"Kensington Town Hall, Kensington"
376,51.491884,-0.125674,24,2011-01-10 12:03:00,"Millbank Tower, Pimlico"
377,51.505354,-0.113656,15,2011-01-17 11:57:00,"Waterloo Bridge, South Bank"
378,51.495592,-0.179077,42,2011-01-27 09:45:00,"Natural History Museum, South Kensington"
379,51.514311,-0.200838,21,2011-01-27 09:48:00,"Turquoise Island, Notting Hill"
380,51.506864,-0.150666,21,2011-01-27 10:50:00,"Stanhope Gate, Mayfair"
381,51.51953,-0.13577699999999998,14,2011-01-28 08:36:00,"Charlotte Street, Fitzrovia"
382,51.509351,-0.147449,15,2011-02-08 10:02:00,"Farm Street, Mayfair"
383,51.513103,-0.131213,18,2011-02-02 12:20:00,"Frith Street, Soho"
384,51.496481,-0.192404,15,2011-02-03 11:18:00,"Marloes Road, Kensington"
386,51.513527,-0.13011,16,2011-02-03 11:29:00,"Moor Street, Soho"
387,51.493699,-0.12139399999999999,30,2011-02-07 11:19:00,"Fire Brigade Pier, Vauxhall"
388,51.510701,-0.121723,14,2011-02-08 16:23:00,"Southampton Street, Strand"
389,51.51013,-0.155757,18,2011-02-10 14:26:00,"Upper Grosvenor Street, Mayfair"
390,51.521776,-0.068856,41,2011-02-15 10:06:00,"Buxton Street 1, Shoreditch"
392,51.499428,-0.179702,21,2011-02-17 16:05:00,"Imperial College, Knightsbridge"
393,51.517334,-0.103604,15,2011-02-24 11:04:00,"Snow Hill, Farringdon"
394,51.524826,-0.17626799999999998,18,2011-02-28 16:00:00,"Aberdeen Place, St. John's Wood"
395,51.492462,-0.159919,15,2011-02-28 16:00:00,"Cadogan Gardens, Chelsea"
396,51.51809,-0.163609,16,2011-03-02 14:12:00,"Shouldham Street, Marylebone"
397,51.51348,-0.17977,16,2011-03-02 14:25:00,"Devonshire Terrace, Bayswater"
398,51.502319,-0.200742,30,2011-03-02 14:34:00,"Holland Park, Kensington"
399,51.522617,-0.071653,24,2011-03-08 11:15:00,"Brick Lane Market, Shoreditch"
400,51.517703,-0.154106,26,2011-03-08 11:21:00,"George Street, Marylebone"
401,51.528187,-0.075375,24,2011-03-08 13:55:00,"Columbia Road, Shoreditch"
402,51.522892,-0.171681,15,2011-03-08 14:01:00,"Penfold Street, Marylebone"
403,51.516892,-0.158249,16,2011-03-08 14:14:00,"George Place Mews, Marylebone"
404,51.502042,-0.1844,13,2011-03-09 11:13:00,"Palace Gate, Kensington Gardens"
405,51.494185,-0.18267000000000003,15,2011-03-09 11:15:00,"Gloucester Road Station, South Kensington"
408,51.519943,-0.170704,40,2011-04-05 12:23:00,"Paddington Green Police Station, Paddington"
409,51.493146,-0.099828,41,2011-04-05 12:23:00,"Strata, Elephant & Castle"
410,51.519968,-0.16977399999999998,64,2011-04-05 12:23:00,"Edgware Road Station, Marylebone"
411,51.493372,-0.09968,33,2011-04-05 12:23:00,"Walworth Road, Elephant & Castle"
412,51.488105,-0.110121,17,2011-04-05 12:23:00,"Cleaver Street, Kennington"
419,51.485821,-0.149004,15,2011-06-22 09:35:00,"Chelsea Bridge, Pimlico"
420,51.504043,-0.10531199999999999,37,2011-06-28 10:53:00,"Southwark Station 1, Southwark"
421,51.504044,-0.104778,45,2011-06-28 10:54:00,"Southwark Station 2, Southwark"
423,51.494561,-0.153933,31,2011-07-05 10:04:00,"Eaton Square (South), Belgravia"
424,51.490491,-0.14918599999999999,29,2011-12-22 10:52:00,"Ebury Bridge, Pimlico"
425,51.533379,-0.139159,38,2011-07-07 08:47:00,"Harrington Square 2, Camden Town"
426,51.493072,-0.12992499999999998,17,2011-07-12 09:42:00,"Vincent Street, Pimlico"
427,51.51397,-0.09294000000000001,43,2011-07-15 10:28:00,"Cheapside, Bank"
428,51.499917,-0.174554,20,2011-10-13 08:55:00,"Exhibition Road, Knightsbridge"
430,51.489020000000004,-0.17524,18,2011-12-22 10:33:00,"South Parade, Chelsea"
431,51.534474,-0.12220299999999999,20,2011-12-08 14:37:00,"Crinan Street, King's Cross"
432,51.496957,-0.173894,22,2011-10-24 09:32:00,"Exhibition Road Museums, South Kensington"
433,51.524564,-0.116279,33,2011-12-08 16:26:00,"Wren Street, Holborn"
435,51.488852,-0.10559299999999999,23,2011-12-08 12:07:00,"Kennington Station, Kennington"
436,51.51824,-0.11655000000000001,35,2011-12-08 13:17:00,"Red Lion Street, Holborn"
437,51.488124,-0.120903,27,2012-01-05 06:53:00,"Vauxhall Walk, Vauxhall"
439,51.5338,-0.11867699999999999,22,2012-01-04 19:31:00,"Killick Street, King's Cross"
440,51.483145,-0.113134,33,2012-01-04 20:16:00,"Kennington Oval, Oval"
441,51.495656,-0.114605,24,2012-01-04 21:07:00,"Sail Street, Vauxhall"
442,51.510101,-0.211358,24,2012-01-07 12:47:00,"Walmer Road, Avondale"
443,51.515256,-0.058641,30,2012-01-07 13:10:00,"Philpot Street, Whitechapel"
444,51.52568,-0.055312,24,2012-01-07 13:58:00,"Bethnal Green Garden, Bethnal Green"
445,51.52388,-0.065076,28,2012-01-07 14:17:00,"Cheshire Street, Bethnal Green"
446,51.528936,-0.055894,27,2012-01-07 15:08:00,"York Hall, Bethnal Green"
447,51.493381,-0.007541999999999999,54,2012-01-07 15:10:00,"Jubilee Crescent, Cubitt Town"
448,51.50623,-0.02296,36,2012-01-07 16:11:00,"Fisherman's Walk West, Canary Wharf"
449,51.511088,-0.057158999999999995,35,2012-01-07 16:15:00,"Shadwell Station, Shadwell"
450,51.515975,-0.053176999999999995,28,2012-01-09 10:34:00,"Jubilee Street, Stepney"
451,51.504719,-0.06353099999999999,16,2012-01-02 10:50:00,"Hermitage Court, Wapping"
452,51.505697,-0.070542,24,2012-01-09 11:39:00,"St. Katharine's Way, Tower"
453,51.508447,-0.055167,24,2012-01-09 12:11:00,"Garnet Street, Shadwell"
454,51.487679,-0.021582,20,2012-01-09 13:23:00,"Napier Avenue, Millwall"
455,51.49447,-0.014409,17,2012-01-09 14:03:00,"East Ferry Road, Cubitt Town"
456,51.538071,-0.144664,33,2012-01-10 12:13:00,"Parkway, Camden Town"
457,51.542138,-0.145393,29,2012-01-10 13:48:00,"Castlehaven Road, Camden Town"
458,51.504749,-0.057544,28,2012-01-11 15:13:00,"Wapping Lane, Wapping"
459,51.535179,-0.03338,17,2012-01-11 12:27:00,"Gunmakers Lane, Old Ford"
460,51.516196,-0.029137999999999997,33,2012-01-11 12:27:00,"Burdett Road, Mile End"
461,51.516,-0.038775,26,2012-01-11 14:54:00,"Aston Street, Stepney"
462,51.541603,-0.138853,45,2012-01-11 15:10:00,"Bonny Street, Camden Town"
463,51.534776,-0.071881,22,2012-01-11 18:03:00,"Thurtle Road, Haggerston"
464,51.51417,-0.052099,25,2012-01-11 18:03:00,"St. Mary & St. Michael Church, Stepney"
465,51.53558,-0.08249000000000001,28,2012-04-05 08:08:00,"Pitfield Street North,Hoxton"
466,51.534464,-0.07634099999999999,21,2012-01-12 09:20:00,"Whiston Road, Haggerston"
467,51.523538,-0.030556,17,2012-01-12 13:14:00,"Southern Grove, Bow"
468,51.521564,-0.022694,24,2012-01-12 13:42:00,"Cantrell Road, Bow"
469,51.513757,-0.020467,44,2012-01-12 15:11:00,"Lindfield Street, Poplar"
470,51.530535,-0.025491999999999997,46,2012-01-17 08:57:00,"Mostyn Grove, Bow"
471,51.533283,-0.028155,19,2012-01-17 09:01:00,"Hewison Street, Old Ford"
472,51.529452,-0.027615999999999998,21,2012-01-17 09:06:00,"Malmesbury Road, Bow"
473,51.496137,-0.019355,19,2012-01-17 16:09:00,"Millharbour, Millwall"
474,51.498125,-0.011457,39,2012-01-17 17:56:00,"Castalia Square, Cubitt Town"
475,51.499041,-0.020156999999999998,57,2012-01-17 18:38:00,"Lightermans Road, Millwall"
476,51.489096,-0.009205,29,2012-01-19 08:35:00,"Stebondale Street, Cubitt Town"
477,51.49109,-0.018716,36,2012-01-19 09:03:00,"Spindrift Avenue, Millwall"
478,51.521889,-0.04667,21,2012-01-19 09:33:00,"Stepney Green Station, Stepney"
479,51.527152,-0.058004999999999994,20,2012-01-19 09:44:00,"Pott Street, Bethnal Green"
480,51.512871,-0.038986,25,2012-01-19 12:17:00,"Flamborough Street, Limehouse"
481,51.487129,-0.009001,35,2012-01-19 18:08:00,"Saunders Ness Road, Cubitt Town"
483,51.51328,-0.047784,33,2012-01-20 19:38:00,"Albert Gardens, Stepney"
484,51.528828,-0.013257999999999999,24,2012-01-23 17:29:00,"Bromley High Street, Bow"
485,51.531127,-0.048017,24,2012-01-22 18:04:00,"Old Ford Road, Bethnal Green"
486,51.525645,-0.069543,37,2012-01-23 17:11:00,"Granby Street, Shoreditch"
487,51.511811,-0.025626,23,2012-01-30 15:21:00,"Canton Street, Poplar"
488,51.506946,-0.058681,22,2012-01-22 17:56:00,"Reardon Street, Wapping"
489,51.513074,-0.064094,34,2012-01-20 19:32:00,"Christian Street, Whitechapel"
490,51.508622,-0.065006,45,2012-01-22 18:17:00,"Pennington Street, Wapping"
491,51.522507,-0.041378,45,2012-01-22 18:17:00,"Queen Mary's, Mile End"
492,51.524677,-0.035620000000000006,63,2012-01-22 18:22:00,"The Green Bridge, Mile End"
494,51.50196,-0.016250999999999998,36,2012-01-24 19:27:00,"South Quay East, Canary Wharf"
495,51.528169,-0.018703,39,2012-01-23 17:41:00,"Bow Church Station, Bow"
496,51.52512,-0.015578,39,2012-01-24 10:27:00,"Devons Road, Bow"
497,51.526177,-0.027467,26,2012-01-24 09:47:00,"Merchant Street, Bow"
498,51.527058,-0.025296,41,2012-01-24 09:51:00,"Bow Road Station, Bow"
499,51.519265,-0.021345,36,2012-01-24 12:26:00,"Furze Green, Bow"
500,51.519806,-0.055730999999999996,41,2012-01-24 18:34:00,"Ansell House, Stepney"
501,51.522561,-0.054882999999999994,24,2012-01-24 18:37:00,"Cephas Street, Bethnal Green"
503,51.520893,-0.051393999999999995,36,2012-01-25 12:02:00,"Cleveland Way, Stepney"
504,51.496454,-0.009505999999999999,30,2012-01-30 15:37:00,"St. John's Park, Cubitt Town"
505,51.520398,-0.026768,29,2012-01-30 15:31:00,"Ackroyd Drive, Bow"
506,51.517475,-0.07585499999999999,23,2012-01-30 15:51:00,"Bell Lane, Liverpool Street"
507,51.528692,-0.059091,31,2012-01-30 15:47:00,"Clarkson Street, Bethnal Green"
508,51.519362,-0.074431,18,2012-01-30 15:43:00,"Fournier Street, Whitechapel"
509,51.517842,-0.090075,19,2012-01-30 15:42:00,"Fore Street, Guildhall"
510,51.509303,-0.025996,41,2012-01-30 15:39:00,"Westferry DLR, Limehouse"
511,51.511066,-0.053557999999999995,33,2012-01-30 15:39:00,"Sutton Street, Shadwell"
512,51.532091,-0.06142,30,2012-02-01 16:10:00,"Pritchard's Road, Bethnal Green"
513,51.514222,-0.055656,51,2012-02-02 16:52:00,"Watney Market, Stepney"
514,51.516204,-0.155525,17,2012-02-02 16:52:00,"Portman Square, Marylebone"
515,51.500088,-0.211316,24,2012-02-02 17:07:00,"Russell Gardens, Olympia"
516,51.5112,-0.014438,18,2012-02-02 17:07:00,"Chrisp Street Market, Poplar"
517,51.532513,-0.033084999999999996,17,2012-01-17 09:01:00,"Ford Road, Old Ford"
518,51.528224,-0.037471,30,2012-02-06 07:58:00,"Antill Road, Mile End"
519,51.518811,-0.011661999999999999,33,2012-02-06 07:58:00,"Teviot Street, Poplar"
520,51.526041,-0.047217999999999996,21,2012-02-06 07:58:00,"Bancroft Road, Bethnal Green"
521,51.534137,-0.037365999999999996,19,2012-02-06 07:58:00,"Driffield Road, Old Ford"
522,51.525941,-0.036017,36,2012-02-06 07:58:00,"Clinton Road, Mile End"
523,51.51549,-0.013474999999999999,24,2012-02-06 07:58:00,"Langdon Park, Poplar"
524,51.511654,-0.179668,38,2012-02-06 07:58:00,"Lancaster Gate , Bayswater"
526,51.503143,-0.008428,27,2012-02-09 08:48:00,"Lancaster Drive, Blackwall"
527,51.503802,-0.215808,20,2012-02-09 08:48:00,"Hansard Mews, Holland Park"
528,51.507326,-0.14582699999999998,16,2012-02-09 08:58:00,"Clarges Street, Mayfair"
529,51.486892,-0.170983,18,2012-02-09 09:14:00,"Manresa Road, Chelsea"
530,51.508896,-0.012412999999999999,18,2012-02-09 09:14:00,"Newby Place, Poplar"
531,51.530326,-0.042744,21,2012-02-09 09:14:00,"Twig Folly Bridge, Mile End"
532,51.50357,-0.020068,63,2012-02-10 15:06:00,"Jubilee Plaza, Canary Wharf"
533,51.528222,-0.069743,33,2012-02-27 14:28:00,"Wellington Row, Bethnal Green"
534,51.531864,-0.066035,27,2012-02-27 14:28:00,"Goldsmith's Row, Haggerston"
535,51.537349,-0.147154,24,2012-02-27 14:28:00,"Gloucester Avenue, Camden Town"
536,51.53385,-0.06992000000000001,35,2012-02-27 14:28:00,"Queensbridge Road, Haggerston"
537,51.51793,-0.067937,18,2012-02-27 14:28:00,"Old Montague Street, Whitechapel"
538,51.508981,-0.0069900000000000006,21,2012-02-24 08:22:00,"Naval Row, Blackwall"
539,51.531091,-0.075901,22,2012-02-24 08:22:00,"Hoxton Station, Hoxton"
540,51.528302,-0.14446599999999998,27,2012-02-24 08:22:00,"Albany Street, The Regent's Park"
541,51.506613,-0.142844,28,2012-02-24 08:22:00,"Green Park Station, Mayfair"
542,51.514115,-0.033828,33,2012-02-24 08:22:00,"Salmon Lane, Limehouse"
543,51.509591,-0.204666,21,2012-02-24 08:22:00,"Lansdowne Walk, Ladbroke Grove"
544,51.526153,-0.102208,22,2012-02-24 08:22:00,"Percival Street, Finsbury"
545,51.539957,-0.145246,24,2012-02-24 08:22:00,"Arlington Road, Camden Town"
546,51.517428,-0.107987,21,2012-02-24 08:22:00,"New Fetter Lane, Holborn"
547,51.509474,-0.002275,51,2012-02-24 08:22:00,"East India DLR, Blackwall"
548,51.498385999999996,-0.107913,26,2012-02-24 08:22:00,"Westminster Bridge Road, Elephant & Castle"
549,51.49605,-0.104193,45,2012-02-24 08:22:00,"Gaywood  Street, Elephant & Castle"
550,51.521564,-0.039264,23,2012-02-24 08:22:00,"Harford Street, Mile End"
551,51.505772,-0.016460000000000002,39,2012-02-24 08:22:00,"Import Dock, Canary Wharf"
552,51.511542,-0.056666999999999995,27,2014-05-09 11:32:00,"Watney Street, Shadwell"
553,51.535678,-0.06254599999999999,24,2014-05-09 11:32:00,"Regent's Row , Haggerston "
554,51.513548,-0.005659,16,2014-05-09 11:32:00,"Aberfeldy Street, Poplar"
556,51.502661,-0.021596,27,2014-05-09 11:32:00,"Heron Quays DLR, Canary Wharf"
557,51.51601,-0.0985,20,2014-05-09 11:32:00,"King Edward Street, St Pauls"
558,51.493978,-0.127554,24,2014-05-09 11:32:00,"Page Street, Westminster"
559,51.501391,-0.20599099999999998,24,2012-02-29 08:19:00,"Abbotsbury Road, Holland Park"
560,51.511624,-0.205921,21,2012-02-29 08:19:00,"Ladbroke Grove Central, Ladbroke Grove"
561,51.518369,-0.043371,22,2012-02-29 08:19:00,"Rectory Square, Stepney"
562,51.51746,-0.12335000000000002,21,2012-02-29 08:17:00,"Bury Place, Holborn"
563,51.499286,-0.009152,26,2012-03-05 08:59:00,"Preston's Road, Cubitt Town"
564,51.509943,-0.117619,41,2012-03-05 08:59:00,"Somerset House, Strand"
565,51.521905,-0.063386,17,2012-03-05 08:59:00,"Selby Street, Whitechapel"
