BPID,lat,lon,NbDocks,Installed,commonName
566,51.509158,-0.224103,42,2012-03-05 08:59:00,"Westfield Ariel Way, White City"
568,51.51616,-0.18697000000000003,18,2012-03-03 11:13:00,"Bishop's Bridge Road West, Bayswater"
569,51.53213,-0.08299000000000001,30,2012-03-03 11:13:00,"Pitfield Street Central, Hoxton"
570,51.503083,-0.017676,36,2012-03-03 11:13:00,"Upper Bank Street, Canary Wharf"
571,51.506256,-0.218337,29,2012-03-01 16:43:00,"Westfield Southern Terrace ,Shepherd's Bush"
572,51.539099,-0.141728,36,2012-03-15 07:21:00,"Greenland Road, Camden Town"
573,51.485587,-0.18119000000000002,18,2012-03-15 07:21:00,"Limerston Street, West Chelsea"
574,51.53356,-0.09315000000000001,45,2012-04-05 09:36:00,"Eagle Wharf Road, Hoxton"
576,51.497304,-0.022792999999999997,22,2012-02-28 15:58:00,"Alpha Grove, Millwall"
577,51.528869,-0.047548,20,2012-02-28 15:58:00,"Globe Town Market, Bethnal Green"
578,51.527607,-0.057132999999999996,32,2012-02-28 15:58:00,"Hollybush Gardens, Bethnal Green"
579,51.511246,-0.093051,36,2014-02-12 12:35:00,"Queen Street 2, Bank"
580,51.486929,-0.10299599999999999,36,2014-02-12 12:35:00,"Doddington Grove, Kennington"
581,51.519167,-0.147983,18,2012-03-16 07:39:00,"New Cavendish Street, Marylebone"
583,51.497622,-0.125978,20,2012-03-15 07:40:00,"Abingdon Green, Westminster"
584,51.51244,-0.19096000000000002,21,2012-03-15 07:40:00,"Ilchester Gardens, Bayswater"
586,51.490645,-0.014582,31,2012-03-15 07:40:00,"Mudchute DLR, Cubitt Town"
587,51.50964,-0.08497,22,2012-03-22 08:52:00,"Monument Street, Monument"
588,51.52959,-0.0801,27,2012-03-05 08:57:00,"Hoxton Street, Hoxton"
589,51.487196,-0.179369,18,2012-03-03 07:30:00,"Drayton Gardens, West Chelsea"
590,51.53256,-0.16862000000000002,26,2012-03-03 07:30:00,"Greenberry Street, St.John's Wood"
591,51.506093,-0.22422299999999998,27,2012-03-03 07:30:00,"Westfield Library Corner, Shepherd's Bush"
592,51.5171,-0.18377000000000002,20,2012-03-14 07:38:00,"Bishop's Bridge Road East, Bayswater"
593,51.531066,-0.11934000000000002,21,2012-03-14 07:38:00,"Northdown Street, King's Cross"
594,51.513875,-0.11777399999999999,33,2012-03-14 07:38:00,"Kingsway Southbound, Strand"
595,51.493267,-0.21985000000000002,22,2017-07-31 23:45:00,"Hammersmith Road, Hammersmith"
596,51.472817,-0.199783,21,2017-07-31 23:45:00,"Parson's Green , Parson's Green"
597,51.473471,-0.20782,27,2017-07-31 23:45:00,"Fulham Park Road, Fulham"
598,51.494499,-0.228188,38,2017-07-31 23:45:00,"Southerton Road, Hammersmith"
599,51.485743,-0.22361599999999998,28,2013-09-25 11:53:00,"Manbre Road, Hammersmith"
600,51.481747,-0.12464199999999999,21,2013-09-25 11:53:00,"South Lambeth Road, Vauxhall"
601,51.514767,-0.225787,36,2013-09-25 11:53:00,"BBC White City, White City"
602,51.472993,-0.133972,45,2013-09-25 11:53:00,"Union Grove, Wandsworth Road"
603,51.477839,-0.116493,44,2013-09-25 11:53:00,"Caldwell Street, Stockwell"
604,51.538792,-0.138535,18,2013-09-25 11:53:00,"St Martins Close, Camden Town"
605,51.520331,-0.16366699999999998,29,2013-09-25 11:53:00,"Seymour Place, Marylebone"
606,51.504199,-0.210941,26,2013-09-25 11:53:00,"Addison Road, Holland Park"
607,51.468814,-0.210279,21,2013-09-25 11:53:00,"Putney Bridge Station, Fulham"
608,51.491093,-0.216493,30,2013-09-25 11:53:00,"Colet Gardens, Hammersmith"
609,51.465123,-0.15778799999999998,19,2013-09-25 11:53:00,"Sugden Road, Clapham"
610,51.482567,-0.17207799999999998,21,2013-09-25 12:51:00,"Danvers Street, West Chelsea"
611,51.506465,-0.20848599999999998,20,2013-09-26 13:59:00,"Princedale Road , Holland Park"
612,51.469259,-0.141812,30,2013-09-27 15:10:00,"Wandsworth Rd, Isley Court, Wandsworth Road"
613,51.504038,-0.2174,24,2013-09-26 16:11:00,"Woodstock Grove, Shepherd's Bush"
614,51.478172,-0.14469,40,2013-10-03 10:10:00,"Bradmead, Battersea Park"
615,51.476885,-0.215895,24,2013-09-27 13:35:00,"Finlay Street, Fulham"
616,51.481021,-0.209973,24,2013-09-30 08:59:00,"Aintree Street, Fulham"
617,51.471079,-0.207842,21,2013-09-30 08:59:00,"Elysium Place, Fulham"
618,51.476259,-0.19325399999999998,24,2013-09-30 13:09:00,"Eel Brook Common, Walham Green"
619,51.473763,-0.19701000000000002,43,2013-09-30 14:46:00,"Irene Road, Parsons Green"
620,51.47518,-0.16716,28,2013-10-01 12:04:00,"Surrey Lane, Battersea"
621,51.460864,-0.18742699999999998,33,2013-10-04 15:08:00,"Wandsworth Town Station, Wandsworth"
622,51.507481,-0.205535,29,2013-10-04 15:48:00,"Lansdowne Road, Ladbroke Grove"
623,51.46193,-0.18079099999999998,22,2013-10-07 08:42:00,"Nantes Close, Wandsworth"
624,51.472918,-0.132102,40,2013-10-08 09:24:00,"Courland Grove, Wandsworth Road"
625,51.477619,-0.149551,28,2013-10-08 10:18:00,"Queen's Circus, Battersea Park"
626,51.484386,-0.204815,24,2013-10-16 10:45:00,"Normand Park, West Kensington"
627,51.46879,-0.15823,20,2013-10-16 13:50:00,"Holden Street, Battersea"
628,51.468819,-0.18431799999999998,26,2013-10-10 14:23:00,"William Morris Way, Sands End"
629,51.459953,-0.190184,28,2013-10-11 08:18:00,"Morie Street, Wandsworth"
630,51.470732,-0.126994,28,2013-10-11 10:25:00,"Clarence Walk, Stockwell"
631,51.479501,-0.14177,27,2013-10-08 15:15:00,"Battersea Park Road, Nine Elms"
632,51.470538,-0.163041,28,2013-10-08 08:25:00,"Sheepcote Lane, Battersea"
633,51.489591,-0.20937799999999998,32,2013-10-10 11:02:00,"Vereker Road, West Kensington"
634,51.494347,-0.215804,33,2013-10-14 09:43:00,"Brook Green South, Brook Green"
635,51.486062,-0.21442799999999998,37,2013-10-14 13:14:00,"Greyhound Road, Hammersmith"
636,51.467064,-0.19350199999999998,28,2013-10-15 14:12:00,"South Park, Sands End"
637,51.45787,-0.17469099999999999,25,2013-10-16 14:28:00,"Spencer Park, Wandsworth Common"
638,51.466633,-0.169821,28,2013-10-15 10:47:00,"Falcon Road, Clapham Junction"
639,51.48357,-0.202038,27,2013-10-15 11:15:00,"Coomer Place, West Kensington"
640,51.472865,-0.148059,28,2013-10-17 11:47:00,"Silverthorne Road, Battersea"
641,51.498241,-0.11749499999999999,23,2013-10-16 12:35:00,"Archbishop's Park, Waterloo"
642,51.469161,-0.174485,36,2013-10-16 14:37:00,"Fawcett Close, Battersea"
643,51.519042,-0.204764,22,2013-10-17 11:52:00,"All Saints' Road, Portobello"
644,51.483732,-0.223852,36,2013-10-20 14:16:00,"Rainville Road, Hammersmith"
645,51.501732,-0.10029199999999999,21,2013-10-18 15:40:00,"Great Suffolk Street, The Borough"
646,51.498865,-0.137424,16,2013-10-18 08:19:00,"Buckingham Gate, Westminster"
647,51.500353,-0.217515,27,2013-10-21 09:19:00,"Richmond Way, Shepherd's Bush"
648,51.46904,-0.196274,30,2013-10-21 10:54:00,"Peterborough Road, Sands End"
649,51.481805,-0.180274,22,2013-10-21 09:40:00,"World's End Place, West Chelsea"
650,51.51687,-0.21387199999999998,23,2013-10-22 10:42:00,"St. Mark's Road, North Kensington"
651,51.480898,-0.183853,25,2013-10-22 11:33:00,"Thorndike Close, West Chelsea"
652,51.511486,-0.21819000000000002,29,2013-10-15 14:49:00,"Evesham Street, Avondale"
653,51.470847,-0.170703,25,2013-10-23 14:51:00,"Simpson Street, Clapham Junction"
654,51.482678,-0.11766099999999999,34,2013-10-23 09:20:00,"Ashmole Estate, Oval"
655,51.482944,-0.21934599999999999,27,2013-10-24 10:40:00,"Crabtree Lane, Fulham"
656,51.468418,-0.19913499999999998,29,2013-10-24 11:36:00,"Broomhouse Lane, Parsons Green"
657,51.49968,-0.221791,21,2013-10-24 13:30:00,"Blythe Road West, Shepherd's Bush"
658,51.477292,-0.164786,30,2013-11-06 09:45:00,"Ethelburga Estate, Battersea Park"
660,51.49087,-0.206029,22,2013-10-25 12:49:00,"West Kensington Station, West Kensington"
661,51.51632,-0.20260799999999998,37,2013-10-27 15:28:00,"All Saints Church, Portobello"
663,51.51323,-0.211593,24,2013-10-27 10:34:00,"Clarendon Road, Avondale"
664,51.474376,-0.155442,24,2013-10-28 12:45:00,"Austin Road, Battersea Park"
665,51.461083,-0.191722,28,2013-10-28 15:55:00,"Smugglers Way, Wandsworth"
666,51.4961,-0.20815799999999998,38,2013-10-29 16:18:00,"Olympia Way, Olympia"
667,51.501594,-0.222293,34,2013-10-30 12:29:00,"Shepherd's Bush Road North, Shepherd's Bush"
668,51.494223,-0.23676899999999998,26,2013-10-30 14:26:00,"Ravenscourt Park Station, Hammersmith"
669,51.476149,-0.12325799999999999,39,2013-10-30 15:41:00,"Teversham Lane, Stockwell"
670,51.467185,-0.152248,28,2013-10-31 09:44:00,"Ashley Crescent, Battersea"
671,51.475089,-0.20196799999999998,56,2013-10-31 11:12:00,"Parsons Green Station, Parsons Green"
673,51.46517,-0.180389,36,2013-11-01 15:25:00,"Hibbert Street, Battersea"
674,51.535467,-0.11619099999999999,40,2013-11-01 16:12:00,"Carnegie Street, King's Cross"
675,51.463489,-0.18212599999999998,30,2013-11-01 16:12:00,"Usk Road, Clapham Junction"
676,51.47787,-0.126874,35,2013-11-04 17:00:00,"Hartington Road, Stockwell"
677,51.468669,-0.14654399999999998,27,2013-11-03 10:56:00,"Heath Road, Battersea"
678,51.462312,-0.211468,30,2013-11-05 12:13:00,"Esmond Street, Putney"
679,51.474535,-0.17021,26,2013-11-05 14:20:00,"Orbel Street, Battersea"
680,51.477683999999996,-0.17032899999999998,28,2013-11-05 13:18:00,"Westbridge Road, Battersea"
681,51.473036,-0.214749,46,2013-11-06 10:24:00,"Bishop's Avenue, Fulham"
682,51.488108,-0.226606,46,2013-11-06 11:44:00,"Crisp Road, Hammersmith"
683,51.465064,-0.16375,28,2013-11-06 15:07:00,"Dorothy Road, Clapham Junction"
684,51.454752,-0.19519699999999998,32,2013-11-07 11:23:00,"Neville Gill Close, Wandsworth"
685,51.46067,-0.198735,30,2013-11-07 12:30:00,"Osiers Road, Wandsworth"
686,51.488144,-0.222456,26,2013-11-07 14:46:00,"Beryl Road, Hammersmith"
687,51.497608,-0.211455,26,2013-11-07 15:34:00,"Maclise Road, Olympia"
688,51.460951,-0.20066699999999998,28,2013-11-08 12:54:00,"Northfields, Wandsworth"
689,51.459225,-0.180884,30,2013-11-08 13:43:00,"Spanish Road, Clapham Junction"
690,51.470475,-0.15213000000000002,24,2013-11-08 15:31:00,"Stanley Grove, Battersea"
691,51.479463,-0.19577699999999998,24,2013-11-18 08:32:00,"Erin Close, Walham Green"
692,51.542118,-0.028940999999999998,22,2013-11-11 10:37:00,"Cadogan Close, Victoria Park"
693,51.464786,-0.215618,18,2013-11-09 12:46:00,"Felsham Road, Putney"
694,51.460717,-0.216526,20,2013-11-09 13:44:00,"Putney Rail Station, Putney"
695,51.536384,-0.102757,21,2013-11-11 12:27:00,"Islington Green, Angel"
696,51.487285,-0.217995,21,2013-11-11 14:27:00,"Charing Cross Hospital, Hammersmith"
697,51.536392,-0.112721,25,2013-11-12 10:12:00,"Charlotte Terrace, Angel"
698,51.539083,-0.070329,35,2013-11-12 11:05:00,"Shoreditch Court, Haggerston"
699,51.536654,-0.07023,39,2013-11-12 11:34:00,"Belford House, Haggerston"
700,51.476964,-0.174347,25,2013-11-13 11:48:00,"Battersea Church Road, Battersea"
701,51.472876,-0.17626699999999998,30,2013-11-13 12:18:00,"Vicarage Crescent, Battersea"
702,51.528681,-0.06555000000000001,24,2013-11-13 12:31:00,"Durant Street, Bethnal Green"
703,51.515059,-0.105344,25,2013-11-13 15:50:00,"St. Bride Street, Holborn"
704,51.45682,-0.20280199999999998,18,2013-11-14 15:38:00,"Mexfield Road, East Putney"
706,51.502153,-0.083632,31,2013-11-14 09:22:00,"Snowsfields, London Bridge"
707,51.490217,-0.215087,32,2013-11-14 13:28:00,"Barons Court Station, West Kensington"
708,51.46161,-0.216145,33,2013-11-15 15:43:00,"Disraeli Road, Putney"
709,51.463211,-0.21555000000000002,23,2013-11-15 10:09:00,"Montserrat Road , Putney"
710,51.474392,-0.163347,20,2013-11-15 13:03:00,"Albert Bridge Road, Battersea Park"
711,51.483356,-0.216305,31,2013-11-18 16:19:00,"Everington Street, Fulham"
712,51.518541,-0.034902999999999997,22,2013-11-18 17:52:00,"Mile End Stadium, Mile End"
713,51.541007,-0.14326,22,2013-11-18 11:37:00,"Hawley Crescent, Camden Town"
714,51.473116,-0.137235,28,2013-11-19 12:50:00,"Stewart's Road, Wandsworth Road"
715,51.51563,-0.049067,22,2013-11-19 13:41:00,"Aylward Street, Stepney"
716,51.515427,-0.023565,24,2013-11-19 15:05:00,"Stainsby Road , Poplar"
717,51.536585,-0.075885,43,2013-11-20 13:00:00,"Dunston Road , Haggerston"
718,51.535716,-0.060291,45,2013-11-20 15:54:00,"Ada Street, Hackney Central"
719,51.536424,-0.054161999999999995,34,2013-11-20 17:28:00,"Victoria Park Road, Hackney Central"
720,51.487244,-0.205279,23,2013-11-21 09:24:00,"Star Road, West Kensington"
721,51.536039,-0.026261999999999997,18,2013-11-21 10:08:00,"Wendon Street, Old Ford"
722,51.524583,-0.058630999999999996,19,2013-11-21 10:10:00,"Finnis Street, Bethnal Green"
723,51.46822,-0.190346,48,2013-11-21 12:03:00,"Stephendale Road, Sands End"
724,51.457991,-0.184806,28,2013-11-22 13:03:00,"Alma Road, Wandsworth"
726,51.47505,-0.150908,22,2013-11-22 13:59:00,"Alfreda Street, Battersea Park"
727,51.475698,-0.205876,23,2013-11-22 14:56:00,"Chesilton Road, Fulham"
728,51.461999,-0.20624,29,2013-11-26 11:53:00,"Putney Bridge Road, East Putney"
729,51.478939,-0.208485,24,2013-11-25 14:55:00,"St. Peter's Terrace, Fulham"
730,51.492084,-0.229116,18,2013-11-22 15:03:00,"Bridge Avenue, Hammersmith"
731,51.477276,-0.18921000000000002,37,2013-11-25 15:52:00,"Michael Road, Walham Green"
732,51.506304,-0.08726199999999999,21,2013-11-26 09:27:00,"Duke Street Hill, London Bridge"
733,51.505426,-0.150817,18,2013-11-26 10:14:00,"Park Lane, Mayfair"
734,51.462305,-0.17540699999999998,31,2013-11-26 11:15:00,"Plough Terrace, Clapham Junction"
735,51.464894,-0.173029,28,2013-11-25 12:38:00,"Grant Road East, Clapham Junction"
736,51.50659,-0.216104,28,2013-11-26 13:35:00,"Queensdale Road, Shepherd's Bush"
737,51.479932,-0.19411599999999998,26,2013-11-27 12:17:00,"Fulham Broadway, Walham Green"
738,51.475142,-0.187278,37,2013-11-27 14:43:00,"Imperial Road, Sands End"
739,51.481765,-0.185273,28,2013-11-28 09:30:00,"Hortensia Road, West Brompton"
740,51.510928,-0.21459399999999998,26,2013-11-28 10:44:00,"Sirdar Road, Avondale"
741,51.512981,-0.219486,23,2013-11-28 12:02:00,"Freston Road, Avondale"
742,51.515108,-0.208565,22,2013-11-28 14:39:00,"Blenheim Crescent, Ladbroke Grove"
743,51.460792,-0.212607,29,2013-11-29 11:15:00,"Oxford Road, Putney"
744,51.467454,-0.172293,30,2013-11-29 12:56:00,"Ingrave Street, Clapham Junction"
745,51.478169,-0.18243499999999999,29,2013-11-29 15:47:00,"Upcerne Road, West Chelsea"
746,51.479573,-0.179038,24,2013-12-02 12:02:00,"Lots Road, West Chelsea"
747,51.487964,-0.161765,24,2013-12-02 15:14:00,"Ormonde Gate, Chelsea"
748,51.537277,-0.079201,25,2013-12-04 12:25:00,"Hertford Road, De Beauvoir Town"
749,51.539328,-0.074284,37,2013-12-04 15:54:00,"Haggerston Road, Haggerston "
750,51.471095,-0.15785000000000002,27,2013-12-05 10:46:00,"Culvert Road, Battersea"
751,51.516128,-0.12090899999999999,24,2013-12-05 13:40:00,"Newton Street, Covent Garden"
752,51.458164,-0.206002,29,2013-12-06 11:31:00,"Manfred Road, East Putney"
753,51.492636,-0.234094,28,2013-12-06 16:32:00,"Hammersmith Town Hall, Hammersmith"
754,51.5129,-0.21476199999999998,24,2014-01-06 10:19:00,"Grenfell Road, Avondale"
755,51.485121,-0.174971,24,2014-01-06 11:43:00,"The Vale, Chelsea"
756,51.475153,-0.159169,21,2014-01-20 13:04:00,"Prince of Wales Drive, Battersea Park"
757,51.487958,-0.187404,24,2014-01-07 11:31:00,"Harcourt Terrace, West Brompton"
758,51.51787,-0.201005,23,2014-01-08 10:47:00,"Westbourne Park Road, Portobello"
759,51.524561,-0.16566799999999998,18,2014-01-13 15:38:00,"Broadley Terrace, Marylebone"
760,51.525269,-0.163795,18,2014-01-21 13:26:00,"Rossmore Road, Marylebone"
761,51.483217,-0.21186000000000002,26,2014-01-15 10:30:00,"Humbolt Road, Fulham"
762,51.500703,-0.129698,21,2014-02-10 13:30:00,"Storey's Gate, Westminster"
763,51.520597,-0.032566,47,2014-02-10 14:37:00,"Mile End Park Leisure Centre, Mile End"
764,51.462392,-0.168292,33,2014-02-17 10:38:00,"St. John's Road, Clapham Junction"
765,51.467601,-0.20682699999999998,39,2014-02-21 12:49:00,"Ranelagh Gardens, Fulham"
766,51.457529,-0.192165,25,2014-02-20 11:14:00,"Ram Street, Wandsworth"
767,51.457059,-0.20080599999999998,30,2014-02-26 09:18:00,"Santos Road, Wandsworth"
768,51.461343,-0.159322,37,2014-02-27 09:41:00,"Clapham Common North Side, Clapham Common"
769,51.473611,-0.191803,21,2014-03-04 13:26:00,"Sandilands Road, Walham Green"
770,51.491026,-0.209121,30,2014-03-06 09:48:00,"Gwendwr Road, West Kensington"
771,51.509224,-0.21601599999999999,21,2014-03-05 11:20:00,"Rifle Place, Avondale"
772,51.472509,-0.122831,35,2014-04-02 12:35:00,"Binfield Road, Stockwell"
773,51.511891,-0.107349,24,2014-03-31 10:42:00,"Tallis Street, Temple"
774,51.470131,-0.20464000000000002,20,2014-03-31 11:38:00,"Hurlingham Park, Parsons Green"
775,51.496664,-0.22386799999999998,33,2014-03-31 12:52:00,"Little Brook Green, Brook Green"
776,51.460333,-0.16702899999999998,20,2014-03-31 13:42:00,"Abyssinia Close, Clapham Junction"
777,51.461923,-0.165297,21,2014-07-25 10:09:00,"Limburg Road, Clapham Junction"
779,51.514449,-0.077178,28,2015-06-26 10:15:00,"Houndsditch, Aldgate"
780,51.474665,-0.183165,25,2015-08-13 08:40:00,"Imperial Wharf Station, Sands End"
781,51.495898,-0.173009,30,2015-11-02 17:29:00,"Victoria & Albert Museum, South Kensington"
782,51.483911,-0.19760899999999998,24,2015-11-02 17:37:00,"Halford Road, West Kensington"
783,51.540311,-0.021630000000000003,27,2015-11-26 09:21:00,"Monier Road, Hackney Wick"
784,51.546326,-0.009935,34,2016-01-14 16:34:00,"East Village, Queen Elizabeth Olympic Park"
785,51.54094,-0.01051,64,2016-01-04 11:54:00,"Aquatic Centre, Queen Elizabeth Olympic Park"
786,51.549369,-0.015717,44,2016-01-04 14:36:00,"Lee Valley VeloPark, Queen Elizabeth Olympic Park"
787,51.546805,-0.014691,35,2016-01-04 09:45:00,"Timber Lodge, Queen Elizabeth Olympic Park"
788,51.544836,-0.019524,33,2016-01-04 11:28:00,"Copper Box Arena, Queen Elizabeth Olympic Park"
789,51.538718,-0.011889,40,2016-01-11 10:10:00,"Podium, Queen Elizabeth Olympic Park"
790,51.541793,-0.00481,28,2016-01-13 12:17:00,"Stratford Station, Stratford"
792,51.505461,-0.10454000000000001,42,2016-02-08 10:13:00,"Blackfriars Road, Southwark"
793,51.528279,-0.119558,28,2016-03-31 11:46:00,"Cromer Street, Bloomsbury"
794,51.474567,-0.12458000000000001,19,2016-02-25 12:44:00,"Lansdowne Way Bus Garage, Stockwell"
795,51.527068,-0.131861,30,2016-02-29 11:19:00,"Euston Square Gardens, Euston"
796,51.524,-0.126409,29,2016-02-29 11:47:00,"Coram Street, Bloomsbury"
797,51.5293,-0.128279,30,2016-03-01 13:39:00,"Ossulston Street, Somers Town"
798,51.530199,-0.12229899999999999,27,2016-06-01 13:33:00,"Birkenhead Street, King's Cross"
799,51.497698,-0.137598,24,2016-06-02 14:08:00,"Kings Gate House, Westminster"
800,51.481121,-0.149035,30,2016-03-04 15:59:00,"Sopwith Way, Battersea Park"
801,51.505224,-0.098031,29,2016-03-24 13:04:00,"Lavington Street, Bankside"
802,51.47659,-0.118256,32,2016-06-02 11:05:00,"Albert Square, Stockwell"
803,51.505409,-0.098341,23,2016-06-01 13:31:00,"Southwark Street, Bankside"
804,51.534667,-0.125078,27,2016-03-31 07:56:00,"Good's Way, King's Cross"
805,51.520069,-0.206338,27,2016-07-04 10:00:00,"Bevington Road, North Kensington"
806,51.53724,-0.124807,27,2016-09-01 09:51:00,"Handyside Street, King's Cross"
807,51.5212,-0.208888,24,2016-06-23 21:00:00,"Bevington Road West, North Kensington"
808,51.473486,-0.122555,33,2016-04-27 10:39:00,"Stockwell Roundabout, Stockwell"
809,51.516277,-0.11827199999999999,28,2016-07-04 14:00:00,"Lincoln's Inn Fields, Holborn"
810,51.506725,-0.09880699999999999,30,2016-06-03 08:40:00,"Tate Modern, Bankside"
811,51.505703,-0.027771999999999998,36,2016-07-26 13:16:00,"Westferry Circus, Canary Wharf"
812,51.548731,-0.022605999999999998,28,2016-07-20 09:00:00,"Here East North, Queen Elizabeth Olympic Park"
813,51.487807,-0.122759,37,2016-07-04 10:12:00,"New Spring Gardens Walk, Vauxhall"
814,51.471433,-0.12367000000000002,30,2016-06-02 12:21:00,"Clapham Road, Lingham Street, Stockwell"
815,51.500089,-0.116628,35,2016-05-04 10:28:00,"Lambeth Palace Road, Waterloo"
816,51.546532,-0.020597,28,2017-03-09 13:16:00,"Here East South, Queen Elizabeth Olympic Park"
817,51.481335,-0.138212,26,2016-06-03 10:19:00,"Riverlight South, Nine Elms"
818,51.503127,-0.078655,13,2016-05-19 12:21:00,"One Tower Bridge, Bermondsey"
819,51.50621,-0.114842,38,2016-10-13 12:02:00,"Belvedere Road 2, South Bank"
820,51.492807,-0.09193799999999999,24,2016-12-15 13:19:00,"Victory Place, Walworth"
821,51.483507,-0.14771399999999998,27,2017-02-17 12:52:00,"Battersea Power Station, Battersea Park"
826,51.496863,-0.142943,28,2017-07-20 12:48:00,"Allington Street, Victoria"
828,51.473874,-0.11258000000000001,32,2018-02-05 00:00:00,"Normandy Road, Stockwell"
829,51.469217,-0.112686,25,2018-02-01 00:00:00,"Wynne Road, Stockwell"
830,51.469202,-0.11902199999999999,27,2018-02-07 00:00:00,"Sidney Road, Stockwell"
831,51.466232,-0.11317899999999999,25,2018-02-07 00:00:00,"St John's Crescent, Brixton"
832,51.464019,-0.115781,30,2018-02-07 00:00:00,"Ferndale Road, Brixton. "
833,51.460232,-0.11537499999999999,42,2018-02-06 00:00:00,"Saltoun Road, Brixton"
835,51.516785,-0.104947,25,2018-10-11 10:45:00,"Farringdon Street, Holborn"
836,51.541596,-0.125441,24,2018-10-11 10:45:00,"York Way, Kings Cross"
838,51.518093,-0.091401,25,2018-10-11 10:45:00,"Fore Street Avenue, Guildhall"
20,51.527326,-0.136052,28,2018-12-13 00:00:00,"Drummond Street , Euston"
839,51.508033,-0.106823,30,2018-12-12 10:39:00,"Sea Containers, South Bank"
